NewPasswordDoesNotMeetComparerRequirement,PersonalSettings.ChangePassword
ViewAndVerifyPdf,PersonalFolders.Files.ViewFiles
ViewURLFromSharedFolders,MoreOptions.URL.ViewURL
RUFFolderAsDestination,AdminSettings.RemoteUploadForms.CreateNewRufForms
MoveMultipleFilesFromFileBoxToMyFilesAndFolders,FileBox.MoveFiles
SearchGroupFromDistributionGroupsPage,ManageUsers.DistributionGroups.SearchGroups
ReUploadingFileWillNotChangeUploadDateAndTime,PersonalFolders.Files.UploadFiles
ResendSendShareByGetALink,Inbox.SentMessages
SearchEmployeeByLetterTab,ManageUsers.Employees.SearchEmployee
ViewOnlyFolder,Shares.ViewOnlyShares
RemoveUserFromPersonalAddressBook,ManageUsers.AddressBook.Personal.RemoveUsers
DownloadFileFromFileBox,FileBox.DownloadFiles
SelectAMessage,Inbox.Inbox
ShowUserListForNonAdmins,AdminSettings.AdvancedPreferences.TogglePermissions
ApplyViewOnlyPermissionsToUserGridView,PersonalFolders.Folders.ViewOnly
UserAccessAssignedToPolicyDisplayedCorrectly,PolicyBasedAdministration.ManageUsers
SearchUserFromSharedAddressBookPage,ManageUsers.AddressBook.Shared.SearchUsers
ResetAdminPassword,ManageUsers.Employees.EditEmployee
DownloadNoteFromMyFiles,MoreOptions.Notes.DownloadNotes
MoveMultipleFoldersFromSharedFoldersToFavoriteFolders,SharedFolders.Folders.MoveFolders
SortMyFoldersByTitleInListView,PersonalFolders.Folders.SortFolders
AddUserToSuperUserGroupFromEmployeeList,AdminSettings.SuperUserGroup.SuperUserGroup
DownloadFolderWithSingleFileInSharedFolders,SharedFolders.Folders.DownloadFolders
SendCheckedOutFileAndCancel,PersonalFolders.CheckInCheckOut.Send
DeleteMultipleNotesFromMyFiles,MoreOptions.Notes.DeleteNotes
CopyMultipleFilesFromMyFilesToSharedFolders,PersonalFolders.Files.CopyFiles
EmailWhenUploadFileInFolderOfSharedFoldersPage,SharedFolders.FolderAccess.ShareFoldersWithUser
ClientSingleUseLoginLink,Login.ClientLogin
VerifyViewOnlyOfficeOnlinePowerpointDisabledOptions,PersonalFolders.Folders.ViewOnly
ErrorCheckingEmailRequirement,Shares.Send
AddUserCreateNewUser_RequiredFieldValidation,ManageUsers.AddressBook.Personal.AddUsers
UploadFileToMyFilesUsing,PersonalFolders.Files.UploadFiles
UseFolderUrlToNavigateToFolder,Login.UserLogin
DownloadFolderWithMultipleFilesInSharedFolders,SharedFolders.Folders.DownloadFolders
ResendRequestShareByEmailWithShareFile,Inbox.SentMessages
SortSuperUserGroupByCompany,AdminSettings.SuperUserGroup.SortSuperUserGroup
SearchUserFromPersonalAddressBookPage,ManageUsers.AddressBook.Personal.SearchUsers
FindInWOPIViewerDOCX,PersonalFolders.Files.ViewFiles
ResetEmployeePassword,ManageUsers.Employees.EditEmployee
AddUserFromPersonalAddressBookToSharedAddressBook,ManageUsers.AddressBook.Shared.AddUsers
SortFileDropsByName,AdminSettings.FileDrops.SortFileDrops
MoveNoteToAFolder,MoreOptions.Notes.MoveNotes
DeleteFolderFromMyFilesUsingManageFolderActions,PersonalFolders.Folders.DeleteFolders
NewPasswordMeetsRequirements,PersonalSettings.ChangePassword
OfficeOnlineViewAndVerifyWordShare,Shares.ViewShares
MoveFolderFromSharedFoldersToMyFilesAndFoldersGridView,SharedFolders.Folders.MoveFolders
CreateFolderInMyFilesAndFavorite,PersonalFolders.Folders.CreateFolders
ModifyUserAccessPolicy,PolicyBasedAdministration.PolicyCreation
SortNotificationHistoryByRecipients,AdminSettings.NotificationHistory
ExceedIncorrectLoginLimit,AdminSettings.AdvancedPreferences.PasswordLoginSecurityPolicy
SearchEmployeeFromBrowseEmployeesPage,ManageUsers.Employees.SearchEmployee
MoveFolderFromMyFilesToSharedFoldersGridView,PersonalFolders.Folders.MoveFolders
DeleteFolderContainingCheckedOutFileByBulkOperations,PersonalFolders.CheckInCheckOut.Delete
FileByLinkUsingManageFolderActionsMenu,Shares.Send
